om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,mt
678777,2020,01,02,2020-01-02,14:42:00,3,MS,28,0,50.0000,0,0,3000,0,31.5500,-91.3800,31.5700,-91.3700,0,0,0,0,0,1,0,0,0,EG
678778,2020,01,02,2020-01-02,14:48:00,3,MS,28,0,50.0000,0,0,5000,0,31.4400,-91.4000,31.5200,-91.3200,0,0,0,0,0,1,0,0,0,EG
678779,2020,01,02,2020-01-02,15:22:00,3,MS,28,0,50.0000,0,0,2000,0,31.6300,-91.2400,31.6300,-91.2400,0,0,0,0,0,1,0,0,0,EG
678780,2020,01,03,2020-01-03,17:20:00,3,SC,45,0,55.0000,0,0,0,0,33.3900,-81.8400,33.3900,-81.8400,0,0,0,0,0,3,0,0,0,EG
678781,2020,01,10,2020-01-10,15:30:00,3,TX,48,0,48.0000,0,0,7000,0,33.4868,-97.2872,33.4868,-97.2872,0,0,0,0,0,97,0,0,0,EG
678782,2020,01,10,2020-01-10,16:09:00,3,OK,40,0,61.0000,0,0,2000,0,35.4575,-94.7904,35.4575,-94.7904,0,0,0,0,0,135,0,0,0,EG
678783,2020,01,10,2020-01-10,18:00:00,3,MO,29,0,52.0000,0,0,0,0,38.5311,-91.8463,38.5311,-91.8463,0,0,0,0,0,151,0,0,0,EG
678784,2020,01,10,2020-01-10,18:47:00,3,MO,29,0,52.0000,0,0,0,0,38.7672,-91.0630,38.7666,-91.0403,0,0,0,0,0,219,0,0,0,EG
678785,2020,01,10,2020-01-10,18:48:00,3,MO,29,0,61.0000,0,0,0,0,37.1500,-92.7700,37.1573,-92.7612,0,0,0,0,0,225,0,0,0,EG
678786,2020,01,10,2020-01-10,19:05:00,3,TX,48,0,52.0000,0,0,30000,0,31.6292,-97.2610,31.6292,-97.2610,0,0,0,0,0,309,0,0,0,EG
678787,2020,01,10,2020-01-10,19:13:00,3,MO,29,0,52.0000,0,0,45000,0,37.9677,-92.2564,37.9700,-92.2400,0,0,0,0,0,169,0,0,0,EG
678788,2020,01,10,2020-01-10,19:24:00,3,TX,48,0,61.0000,0,0,10000,0,29.3100,-98.8100,29.3100,-98.8100,0,0,0,0,0,325,0,0,0,EG
678789,2020,01,10,2020-01-10,19:38:00,3,AR,05,0,61.0000,0,0,0,0,35.3126,-93.9418,35.3126,-93.9418,0,0,0,0,0,47,0,0,0,EG
678790,2020,01,10,2020-01-10,19:38:00,3,TX,48,0,57.0000,0,0,0,0,29.3800,-98.5800,29.3800,-98.5800,0,0,0,0,0,29,0,0,0,MG
678791,2020,01,10,2020-01-10,19:39:00,3,TX,48,0,65.0000,0,0,25000,0,29.3600,-98.5400,29.3600,-98.5400,0,0,0,0,0,29,0,0,0,EG
