om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
657521,2021,01,06,2021-01-06,11:53:00,3,TX,48,0,1.00,0,0,0,0,30.7600,-96.7500,30.7600,-96.7500,0,0,0,0,0,331,0,0,0
657522,2021,01,06,2021-01-06,17:31:00,3,TX,48,0,1.00,0,0,0,0,29.4000,-95.4300,29.4000,-95.4300,0,0,0,0,0,39,0,0,0
657523,2021,01,06,2021-01-06,18:05:00,3,TX,48,0,1.00,0,0,0,0,29.4600,-95.0500,29.4600,-95.0500,0,0,0,0,0,167,0,0,0
657524,2021,01,06,2021-01-06,18:21:00,3,TX,48,0,1.00,0,0,0,0,29.5400,-95.0200,29.5400,-95.0200,0,0,0,0,0,167,0,0,0
657525,2021,01,24,2021-01-24,12:00:00,3,AZ,04,0,0.50,0,0,30000,0,32.4764,-111.2364,32.4216,-111.1595,0,0,0,0,0,19,0,0,0
657526,2021,01,24,2021-01-24,14:35:00,3,TX,48,0,0.75,0,0,0,0,32.9339,-96.7895,32.9339,-96.7895,0,0,0,0,0,113,0,0,0
657527,2021,01,24,2021-01-24,14:45:00,3,TX,48,0,0.88,0,0,0,0,32.9600,-96.7300,32.9600,-96.7300,0,0,0,0,0,113,0,0,0
657528,2021,01,24,2021-01-24,23:00:00,3,TX,48,0,2.25,0,0,0,0,33.0356,-102.0328,33.0951,-101.6911,0,0,0,0,0,305,0,0,0
657529,2021,01,25,2021-01-25,00:30:00,3,TX,48,0,1.25,0,0,0,0,33.7700,-99.1700,33.7700,-99.1700,0,0,0,0,0,23,0,0,0
657530,2021,01,25,2021-01-25,00:37:00,3,TX,48,0,1.00,0,0,0,0,33.9600,-98.6800,33.9600,-98.6800,0,0,0,0,0,485,0,0,0
657531,2021,01,25,2021-01-25,00:38:00,3,TX,48,0,1.00,0,0,0,0,33.9700,-98.6900,33.9700,-98.6900,0,0,0,0,0,485,0,0,0
657532,2021,01,25,2021-01-25,04:15:00,3,TX,48,0,0.88,0,0,0,0,33.6400,-97.1500,33.6400,-97.1500,0,0,0,0,0,97,0,0,0
657533,2021,01,25,2021-01-25,05:15:00,3,OK,40,0,1.00,0,0,0,0,33.9400,-96.3900,33.9400,-96.3900,0,0,0,0,0,13,0,0,0
657534,2021,01,25,2021-01-25,06:34:00,3,TX,48,0,0.75,0,0,0,0,32.0100,-97.1200,32.0100,-97.1200,0,0,0,0,0,217,0,0,0
657535,2021,01,25,2021-01-25,06:43:00,3,TX,48,0,1.25,0,0,0,0,32.8800,-96.0600,32.8800,-96.0600,0,0,0,0,0,231,0,0,0
657536,2021,01,25,2021-01-25,07:10:00,3,TN,47,0,0.88,0,0,0,0,36.0812,-89.4433,36.0812,-89.4433,0,0,0,0,0,45,0,0,0
